,S1,S2,S3,S4,S5,S6,S7,S8,S15,S16,S17,S18
4,0.87,0.12,0.24,0.65,1.92,1.68,0.29,0.13,0.19,0.89,0.08,0.31
5,0.87,0.12,0.24,0.65,1.92,1.68,0.29,0.13,0.19,0.89,0.08,0.31
6,0.87,0.12,0.24,0.65,1.91,1.68,0.29,0.13,0.19,0.89,0.08,0.31
7,0.87,0.12,0.24,0.65,1.92,1.68,0.29,0.13,0.19,0.89,0.08,0.31
8,0.87,0.12,0.24,0.65,1.91,1.68,0.29,0.13,0.19,0.89,0.08,0.31
9,0.87,0.12,0.24,0.65,1.91,1.68,0.29,0.13,0.19,0.89,0.08,0.31
10,0.87,0.12,0.24,0.65,1.91,1.68,0.29,0.13,0.19,0.89,0.08,0.31
11,0.87,0.12,0.24,0.65,1.91,1.68,0.29,0.13,0.19,0.89,0.08,0.31
12,0.87,0.12,0.24,0.65,1.91,1.68,0.29,0.13,0.19,0.89,0.08,0.31
13,0.87,0.12,0.24,0.65,1.91,1.68,0.29,0.13,0.19,0.89,0.08,0.31
14,0.88,0.12,0.24,0.66,2.1,1.78,0.29,0.13,0.19,0.89,0.08,0.51
15,0.92,0.12,0.25,0.68,2.53,2.0,0.31,0.16,0.28,0.89,0.09,0.73
16,0.93,0.12,0.27,0.69,2.66,2.0,0.32,0.17,0.35,0.9,0.09,0.7
17,0.93,0.12,0.27,0.7,2.68,1.99,0.33,0.17,0.37,0.9,0.09,0.66
18,0.94,0.12,0.28,0.7,2.66,1.97,0.34,0.17,0.37,0.91,0.09,0.6
19,0.94,0.12,0.28,0.7,2.59,1.94,0.34,0.17,0.36,0.9,0.09,0.55
20,0.93,0.12,0.28,0.7,2.52,1.91,0.34,0.17,0.34,0.91,0.09,0.5
21,0.93,0.12,0.27,0.7,2.45,1.88,0.34,0.17,0.32,0.91,0.09,0.47
22,0.93,0.12,0.27,0.7,2.44,1.89,0.34,0.17,0.31,0.9,0.09,0.49
23,0.94,0.12,0.28,0.7,2.66,2.03,0.35,0.17,0.34,0.91,0.09,0.72
24,0.96,0.13,0.29,0.72,2.98,2.18,0.36,0.19,0.42,0.91,0.09,0.89
25,0.97,0.13,0.3,0.73,3.09,2.19,0.38,0.2,0.49,0.92,0.1,0.82
26,0.97,0.13,0.31,0.73,3.11,2.18,0.39,0.21,0.5,0.92,0.1,0.8
27,0.98,0.13,0.31,0.74,3.12,2.17,0.4,0.21,0.5,0.92,0.1,0.77
28,0.97,0.13,0.31,0.73,3.07,2.13,0.4,0.21,0.49,0.92,0.1,0.69
29,0.97,0.13,0.31,0.73,2.99,2.08,0.4,0.2,0.46,0.92,0.1,0.62
30,0.96,0.13,0.31,0.73,2.91,2.05,0.4,0.2,0.43,0.92,0.09,0.58
31,0.96,0.13,0.31,0.73,2.86,2.03,0.4,0.2,0.41,0.92,0.1,0.57
32,0.95,0.13,0.31,0.72,2.84,2.03,0.4,0.2,0.4,0.92,0.1,0.58
33,0.95,0.13,0.31,0.72,2.8,2.01,0.4,0.19,0.39,0.92,0.09,0.54
34,0.94,0.13,0.31,0.71,2.72,1.98,0.39,0.19,0.37,0.92,0.09,0.49
35,0.93,0.13,0.3,0.71,2.63,1.95,0.38,0.18,0.35,0.92,0.09,0.45
36,0.92,0.13,0.3,0.7,2.55,1.92,0.38,0.18,0.32,0.92,0.09,0.42
37,0.91,0.12,0.3,0.7,2.48,1.9,0.37,0.18,0.31,0.92,0.09,0.4
38,0.91,0.12,0.3,0.7,2.43,1.88,0.37,0.17,0.29,0.92,0.09,0.39
39,0.91,0.12,0.29,0.7,2.38,1.87,0.37,0.17,0.28,0.91,0.09,0.38
40,0.9,0.12,0.29,0.7,2.34,1.86,0.37,0.17,0.27,0.91,0.09,0.37
41,0.9,0.12,0.29,0.69,2.3,1.85,0.36,0.16,0.26,0.91,0.09,0.37
42,0.9,0.12,0.29,0.69,2.27,1.84,0.36,0.16,0.25,0.91,0.09,0.36
43,0.9,0.12,0.29,0.69,2.24,1.83,0.36,0.16,0.25,0.91,0.09,0.35
44,0.89,0.12,0.28,0.69,2.21,1.82,0.35,0.16,0.24,0.91,0.09,0.35
45,0.89,0.12,0.28,0.69,2.19,1.81,0.35,0.16,0.24,0.91,0.09,0.34
46,0.89,0.12,0.28,0.68,2.17,1.81,0.35,0.15,0.23,0.91,0.09,0.33
47,0.89,0.12,0.28,0.68,2.15,1.8,0.35,0.15,0.23,0.91,0.09,0.34
48,0.89,0.12,0.28,0.68,2.13,1.8,0.34,0.15,0.22,0.91,0.09,0.33
49,0.89,0.12,0.28,0.68,2.12,1.79,0.34,0.15,0.22,0.91,0.09,0.33
50,0.89,0.12,0.28,0.68,2.11,1.79,0.34,0.15,0.22,0.91,0.09,0.33
51,0.89,0.12,0.28,0.68,2.09,1.78,0.34,0.15,0.22,0.91,0.09,0.33
52,0.88,0.12,0.28,0.68,2.08,1.78,0.34,0.15,0.21,0.9,0.08,0.32
53,0.88,0.12,0.27,0.68,2.07,1.77,0.34,0.15,0.21,0.9,0.09,0.32
54,0.88,0.12,0.27,0.68,2.06,1.77,0.34,0.15,0.21,0.9,0.09,0.32
55,0.88,0.12,0.27,0.68,2.05,1.77,0.34,0.14,0.21,0.9,0.09,0.32
56,0.88,0.12,0.27,0.67,2.04,1.76,0.33,0.14,0.21,0.9,0.09,0.32
57,0.88,0.12,0.27,0.67,2.04,1.76,0.33,0.14,0.21,0.9,0.09,0.32
58,0.88,0.12,0.27,0.67,2.03,1.76,0.33,0.14,0.2,0.9,0.09,0.31
59,0.88,0.12,0.27,0.67,2.02,1.75,0.33,0.14,0.2,0.9,0.09,0.31
